url,surface_m2,rooms,floor,price,city,year_built,elevator,construction_material,number_bathrooms,latitude,longitude,metro_proximity,stb_proximity
https://www.storia.ro/ro/oferta/apartament-2camere-13-septembrie-cu-centrala-proprie-IDH6qV,63m²,2,4,125 000 €,Rahova,1989,nu,N/A,1,44.41818,26.065672,1.1278586887508315,0.24586854347618745
https://www.storia.ro/ro/oferta/apartament-decomandat-2-camere-de-vanzare-langa-parc-tudor-arghezi-IDGJT5,50.35m²,2,6/7,107 164 €,IMGB,2025,da,beton,1,44.368534,26.12119,1.667858298834167,0.1816399582346971
https://www.storia.ro/ro/oferta/de-vnzare-garsonier-dubl-universitate-cimigiu-ultracentral-IDGVy3,53m²,1,2/2,150 000 €,Cismigiu,1940,nu,beton,1,44.435966,26.096062,0.5330354202960932,0.20774473240403027
https://www.storia.ro/ro/oferta/metalurgiei-2-camere-de-vanzare-in-bloc-nou-decomandat-sector-4-IDGJIe,50.35m²,2,5/7,107 164 €,IMGB,2025,da,beton,1,44.368534,26.12119,1.667858298834167,0.1816399582346971
https://www.storia.ro/ro/oferta/apartament-3-camere-bulevardul-decebal-complet-renovat-89-87-mp-IDH6qD,90m²,3,3/8,339 900 €,Decebal,1990,da,N/A,1,44.428036,26.132645,0.6754657682466896,0.03592258004351825
https://www.storia.ro/ro/oferta/apartament-4-camere-sector-4-strada-uioara-58mp-cf2-IDH6qw,58m²,4,4/4,115 000 €,Berceni,1974,nu,beton,1,44.38069,26.10261,2.0710827545153068,0.30101524009061187
https://www.storia.ro/ro/oferta/apartament-3-camere-tineretului-metrou-piata-norilor-IDH6qs,63.08m²,3,10/10,145 000 €,Tineretului,1976,da,N/A,1,44.413605,26.108984,0.36592411821573656,0.24452995574655062
https://www.storia.ro/ro/oferta/apartament-elegant-2-camere-ansamblu-carmen-sylva-unirii-IDFOCi,59m²,2,parter/1,270 000 €,Centrul Civic,2022,da,beton,1,44.429108,26.1146,1.0864234526666023,0.32589994424327606
https://www.storia.ro/ro/oferta/apartament-elegant-2-camere-ansamblu-carmen-sylva-unirii-IDESiP,59m²,2,parter/1,270 000 €,Centrul Civic,2022,da,beton,1,44.429108,26.1146,1.0864234526666023,0.32589994424327606
https://www.storia.ro/ro/oferta/p-ta-universitatii-IDDlHe,47m²,2,6/9,114 000 €,Cismigiu,1960,nu,beton armat,1,44.4381,26.100779,0.29489281970567977,0.13708895752145542
https://www.storia.ro/ro/oferta/apartament-elegant-2-camere-ansamblu-carmen-sylva-unirii-IDFOCv,59m²,2,parter/1,270 000 €,Centrul Civic,2022,da,beton,1,44.429108,26.1146,1.0864234526666023,0.32589994424327606
https://www.storia.ro/ro/oferta/apartament-nou-2-camere-de-vanzare-decomandat-sector-4-comision-0-IDGJUT,50.35m²,2,4/7,107 164 €,IMGB,2025,da,beton,1,44.368534,26.12119,1.667858298834167,0.1816399582346971
https://www.storia.ro/ro/oferta/garsonier-moderna-4-minute-metrou-lujerului-IDGB3k,41m²,1,10/11,72 000 €,Militari,1976,da,beton,1,44.433964,26.032343,0.12353428198310916,0.0963412686952972
