surface_m2,rooms,floor,max_floor,price,neighborhood,year_built,elevator,construction_material,latitude,longitude,metro_proximity,stb_proximity
45.0,2,4,10,71900,10,1975,1,0,44.383636,26.100271,1.818806873,0.15447656
85.0,4,0,8,139999,10,1983,1,3,44.386166,26.135761,0.731874365,0.237102332
65.0,3,4,4,104990,79,1970,0,0,44.416134,26.17957,0.730417886,0.362327522
37.25,1,3,6,104000,3,2025,1,0,44.378418,26.13346,0.200123761,0.195870888
73.0,3,4,7,270000,-1,2018,0,-1,44.471737,26.140184,2.117344569,0.109883486
55.2,2,7,7,88500,48,2025,1,2,44.36867,26.114674,2.044620972,0.07007092
55.0,2,7,7,88500,48,2025,1,2,44.36867,26.114674,2.044620972,0.07007092
84.0,3,3,5,127000,3,2025,1,2,44.373066,26.129911,0.845321746,0.078682042
61.0,2,2,7,92500,48,2026,1,2,44.361057,26.149319,0.982876603,0.035002737
59.0,2,3,7,91000,48,2026,1,2,44.360996,26.149233,0.985827927,0.033833558
74.0,3,6,7,165000,66,2018,1,1,44.4165,26.0816,1.772573926,0.080509822
50.0,2,5,5,98900,63,2022,1,0,44.3629,26.15153,0.915708198,0.278370392
57.8,2,2,11,250000,16,2026,1,0,44.427063,26.123234,1.349262368,0.157292503
52.0,2,5,8,101900,82,1983,1,0,44.415855,26.044804,0.869572818,0.154922513
74.0,3,10,10,129500,79,1968,0,0,44.427982,26.176077,0.988927921,0.295034225
78.55,3,4,5,129990,76,2019,1,1,44.412968,26.189775,0.675764683,0.519472838
70.0,2,6,7,140000,79,2022,1,0,44.41671,26.188534,1.09146886,0.493296269
68.16,3,0,3,132500,79,2018,0,1,44.418518,26.190437,1.233635153,0.242695815
38.0,2,7,10,77000,10,1974,1,0,44.378204,26.099266,2.412248534,0.078737618
69.0,3,7,10,109999,66,1974,1,0,44.401108,26.05143,2.590346235,0.094282929
31.0,1,9,10,58000,52,1977,1,1,44.4429,26.01849,1.00668174,0.106937937
47.0,2,9,9,139000,54,2018,0,-1,44.422256,26.117193,0.690107368,0.178437578
45.0,3,5,10,69000,52,1976,1,1,44.43526,26.01883,0.239269534,0.151170595
44.0,2,5,9,155000,20,1960,1,-1,44.436142,26.102684,0.031835697,0.078661407
106.0,3,8,9,410000,61,2025,1,-1,44.47489,26.115648,0.648928786,0.349588064
72.0,3,3,3,165000,52,2020,0,1,44.437416,25.993717,0.832836806,0.377915887
52.5,2,5,5,106000,63,2019,1,0,44.361794,26.150936,0.980551378,0.171273634
52.0,2,3,7,85124,76,2026,1,-1,44.418507,26.201002,1.316717735,0.748377032
70.0,3,3,8,135000,82,1983,1,0,44.418224,26.042067,0.581193593,0.035077476
49.0,2,5,5,148000,8,2019,1,-1,44.534695,26.093967,6.195262913,0.388422975
36.0,1,0,8,76990,88,1989,1,-1,44.416107,26.124826,0.491332642,0.354784722
54.0,2,5,8,89000,21,1980,1,3,44.463326,26.13781,1.843751853,0.232857626
74.2,3,0,4,103880,48,2025,1,0,44.36773,26.114256,2.134405783,0.040312509
76.0,3,3,7,225000,88,1989,1,-1,44.41739,26.12889,0.605177313,0.040172853
51.06,2,2,11,103500,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
59.0,3,0,6,115000,3,2025,1,4,44.370705,26.128313,1.136116917,0.081791111
45.0,2,1,3,72632,76,2026,1,1,44.41515,26.201748,1.02348928,0.932237332
67.0,3,3,8,109900,66,1986,1,-1,44.407784,26.069094,2.188356686,0.273304009
