url,surface_m2,rooms,floor,price,city,year_built,elevator,construction_material,number_bathrooms,latitude,longitude,metro_proximity,stb_proximity
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1082616,51 mp,2,5 / 7,67.400 €,"Militari, București",2023,da,beton,1,44.4470233,25.9924919,1.6747865491028495,0.2362503232492629
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-theodor-pallady-2-camere-275327187,"63,9 mp",2,1 / 4,105.500 €,"Theodor Pallady, București",2026,da,beton,2,44.41453679,26.19669668,0.7834552247328854,0.7534596243538472
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-industriilor-2-camere-269322115,"48,82 mp",2,2 / 11,95.000 €,"Industriilor, București",2025,da,beton,1,44.4293101,26.1927146,0.7858927187895227,0.31203897143386217
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-industriilor-2-camere-269322014,"54,92 mp",2,8 / 11,106.000 €,"Industriilor, București",2025,da,beton,1,44.4293101,26.1927146,0.7858927187895227,0.31203897143386217
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-industriilor-3-camere-269321846,"60,53 mp",3,7 / 11,121.000 €,"Industriilor, București",2025,da,beton,1,44.4293101,26.1927146,0.7858927187895227,0.31203897143386217
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-266745473,55 mp,2,2 / 8,132.300 €,"Militari, București",2025,da,beton,1,44.4368102,25.9896628,0.7135521050969701,0.2087314805646577
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-261702223,53 mp,2,8 / 11,165.000 €,"Floreasca, București",2026,da,beton,1,44.478266539681,26.109022503437,0.6604981700045687,0.2384901908569565
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-264125911,60 mp,2,3 / 4,106.800 €,"Militari, București",2025,nu,cărămidă,1,44.4561532,25.9959389,2.5254619737254806,0.9659194228729163
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-2-camere-275498912,74 mp,2,6 / 9,255.000 €,"Floreasca, București",2025,da,beton,1,44.479258675502,26.113654948688,0.2841081732247948,0.17066895097382306
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-275485453,67 mp,2,6 / 25,299.000 €,"Floreasca, București",2025,da,beton,1,44.47647206,26.10144981,0.31342531812419683,0.2761833820189653
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-273639492,43 mp,2,21,259.000 €,"Floreasca, București",2025,da,beton,1,44.476253041676,26.103349098909,0.40549964265252825,0.16090373680957892
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-3-camere-261321862,85 mp,3,4 / 8,280.000 €,"Floreasca, București",2026,da,beton,2,44.475932488068,26.117408489956,0.5319697009786124,0.21622997213665657
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-3-camere-251823232,72 mp,3,5 / 10,285.000 €,"Floreasca, București",2017,da,beton,1,44.4704257,26.1109761,1.2256249983165506,0.16715396662773102
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-nord-3-camere-1-38174921,70 mp,3,6 / 10,152.000 €,"Nord, București",2024,da,beton,2,44.5361452,26.0923803,6.367128187161007,0.23914928032440402
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-baneasa-2-camere-275359703,65 mp,2,2 / 3,165.000 €,"Băneasa, București",2024,da,beton,2,44.50652359,26.0193093,0.5835051786856366,0.4296201947255463
https://www.imobiliare.ro/oferta/penthouse-de-vanzare-sector-3-theodor-pallady-4-camere-275248055,"122,14 mp",4,11 / 11,261.000 €,"Theodor Pallady, București",2026,da,beton,3,44.4089422,26.2092882,0.37561958692833725,0.44916542607602367
https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-3-theodor-pallady-3752mp-275228741,"37,52 mp",1,1 / 11,85.000 €,"Theodor Pallady, București",2026,da,beton,1,44.4089245,26.2092943,0.37377534816067953,0.44716790707239845
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1082636,41 mp,2,7 / 7,51.200 €,"Militari, București",2025,nu,beton,1,44.4479185,25.9896527,1.8803047007271336,0.4588836690139369
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-3-camere-275345752,"74,2 mp",3,2 / 4,184.000 €,"Pipera, București",2027,da,beton,2,44.51353051,26.15714426,4.864858125563229,3.625409438729515
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-aviatiei-2-camere-274265418,"64,7 mp",2,1 / 4,159.900 €,"Aviației, București",2026,nu,beton,1,44.49720973,26.10162021,2.0098044106241213,0.07656318095903264
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-mobilat-3-camere-266165539,"73,92 mp",3,Parter / 3,214.980 €,"Pipera, București",2024,da,beton,2,44.491219809408,26.121842707246,1.242446621512481,0.6996918985516071
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1-275146972,50 mp,2,2 / 5,75.000 €,"Militari, București",2026,nu,altele,1,44.44935138,25.97307258,2.5015383502227926,0.45765668159081496
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1-269897161,50 mp,2,2 / 5,74.850 €,"Militari, București",2025,nu,beton,1,44.4476012,25.9780532,2.1367781435138804,0.8856451502014903
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1-1082620,41 mp,2,7 / 7,55.700 €,"Militari, București",2024,da,beton,1,44.4469007,25.9925134,1.6621772211797925,0.23787503472092644
https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-3-theodor-pallady-2882mp-270523703,"38,6 mp",1,6 / 10,84.000 €,"Theodor Pallady, București",2026,da,beton,1,44.411451,26.1897381,0.5393944682907963,0.35132963588319216
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-theodor-pallady-4-camere-217562944,"163,08 mp",4,10 / 10,299.000 €,"Theodor Pallady, București",2026,da,beton,4,44.4113422,26.1898017,0.5268980818710157,0.3399645531651679
https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-4-aparatorii-patriei-40mp-275493019,40 mp,1,1 / 7,67.000 €,"Apărătorii Patriei, București",2026,da,beton,1,44.35970911,26.15054084,1.1607177594769413,0.1488499034747751
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-275472985,54 mp,2,1 / 10,97.900 €,"Militari, București",2026,da,beton,1,44.4412259,25.97202301,1.8702224319800882,0.7000130236585601
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-sisesti-3-camere-275190741,"90,58 mp",3,1 / 4,270.000 €,"Sisești, București",2025,da,beton,2,44.50025,26.054954,1.9435739570791075,0.26687284850897974
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1082628,48 mp,2,5 / 7,49.830 €,"Militari, București",2023,da,beton,1,44.4472212,25.9923148,1.7008815903363474,0.24652819195725595
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-mobilat-3-camere-269760394,"83,15 mp",3,1,230.000 €,"Pipera, București",2019,da,beton,2,44.4890912,26.13014433,1.4226118247877433,0.8663725783044918
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-mobilat-3-camere-264676965,"82,78 mp",3,7 / 7,220.000 €,"Pipera, București",2019,da,beton,2,44.4891903,26.1301119,1.4279480686160488,0.8747375811695696
https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-6-militari-26-mp-1-1082622,26 mp,1,5 / 7,33.900 €,"Militari, București",2023,nu,beton,1,44.4467757,25.9924922,1.6510960047968735,0.24357159533566888
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-aviatiei-2-camere-275202017,40 mp,2,7 / 15,215.000 €,"Aviației, București",2026,da,beton,1,44.47682728,26.1070202,0.5954728312195181,0.12432889180357692
https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-1-pipera-46mp-262415240,46 mp,1,3 / 6,101.750 €,"Pipera, București",2026,da,beton,1,44.520836412155,26.138766221326,4.797593121505078,2.366757291400851
https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-2-colentina-2-camere-49020979,47 mp,2,5 / 5,109.998 €,"Colentina, București",2024,da,cărămidă,1,44.4612989,26.1398017,1.77405965148367,0.22536844095262185
